"model","lang","contrast","layer","estimate","SE","df","t.ratio","p.value","p.value.adj","layer_rel","layer_depth","p.value.signif","p.value.adj.signif"
"bert-base-multilingual-uncased","en","diff - same","1",1.4874914186027888,0.7755401913040989,154.90505171403666,1.918006874797189,0.05694993477813545,0.05694993477813545,0.08333333333333333,"lower","",""
"bert-base-multilingual-uncased","en","diff - same","2",2.4972089793488346,0.7755401913041015,154.90505171404342,3.2199607542578534,0.0015622229488061368,0.0017042432168794218,0.16666666666666666,"lower","**","**"
"bert-base-multilingual-uncased","en","diff - same","3",4.722563855209435,0.7755401913041015,154.90505171404172,6.089386350523314,8.581295766629048e-9,1.0297554919954858e-8,0.25,"lower","***","***"
"bert-base-multilingual-uncased","en","diff - same","4",6.3033672926095345,0.7755401913041015,154.90505171404172,8.1277119655271175,1.3016832574893418e-13,1.7355776766524557e-13,0.3333333333333333,"middle","***","***"
"bert-base-multilingual-uncased","en","diff - same","5",8.20489177770548,0.7755401913041015,154.90505171404172,10.579582940645063,4.9990091297313557e-20,1.4997027389194068e-19,0.4166666666666667,"middle","***","***"
"bert-base-multilingual-uncased","en","diff - same","6",8.62500960890072,0.7755401913041015,154.90505171404172,11.121292881542898,1.724660569809387e-21,6.898642279237548e-21,0.5,"middle","***","***"
"bert-base-multilingual-uncased","en","diff - same","7",8.820918640300398,0.7755401913041015,154.90505171404342,11.373902654184402,3.5667227431818908e-22,2.1400336459091344e-21,0.5833333333333334,"middle","***","***"
"bert-base-multilingual-uncased","en","diff - same","8",8.009601302459641,0.7755401913041015,154.90505171404172,10.327770749045488,2.372188746223102e-19,5.693252990935445e-19,0.6666666666666666,"middle","***","***"
"bert-base-multilingual-uncased","en","diff - same","9",7.336266707405045,0.7755401913041015,154.90505171404172,9.459557079909453,4.819069465527751e-17,7.228604198291626e-17,0.75,"higher","***","***"
"bert-base-multilingual-uncased","en","diff - same","10",7.4537739672206005,0.7755401913041015,154.90505171404172,9.611073740339343,1.920353004391041e-17,3.840706008782082e-17,0.8333333333333334,"higher","***","***"
"bert-base-multilingual-uncased","en","diff - same","11",7.433804923357519,0.7755401913041015,154.90505171404342,9.585325179417564,2.2459084998560647e-17,3.8501288568961105e-17,0.9166666666666666,"higher","***","***"
"bert-base-multilingual-uncased","en","diff - same","12",9.945233901275053,0.7755401913041015,154.90505171404342,12.823621538622968,4.092967944008412e-26,4.911561532810095e-25,1,"higher","***","***"
"bert-base-multilingual-uncased","zh","diff - same","1",1.086667885987756,0.46801176348659973,164.8310808439022,2.3218815653099925,0.02146272939925653,0.02146272939925653,0.08333333333333333,"lower","*","*"
"bert-base-multilingual-uncased","zh","diff - same","2",1.0990024114845685,0.4680117634865874,164.83108084390028,2.3482367265669475,0.020049217006626468,0.02146272939925653,0.16666666666666666,"lower","*","*"
"bert-base-multilingual-uncased","zh","diff - same","3",1.253821474162096,0.4680117634865874,164.8310808439022,2.679038374636985,0.008131974244297941,0.00975836909315753,0.25,"lower","**","**"
"bert-base-multilingual-uncased","zh","diff - same","4",1.3939043460598486,0.4680117634865874,164.8310808439022,2.9783532270119872,0.003335752198932029,0.004447669598576038,0.3333333333333333,"middle","**","**"
"bert-base-multilingual-uncased","zh","diff - same","5",1.7125187410079725,0.46801176348658746,164.83108084390028,3.659136104293778,3.402868305195726e-4,8.166883932469741e-4,0.4166666666666667,"middle","***","***"
"bert-base-multilingual-uncased","zh","diff - same","6",1.853835056138108,0.4680117634865874,164.83108084390028,3.9610864528862137,1.1083020201268416e-4,3.324906060380525e-4,0.5,"middle","***","***"
"bert-base-multilingual-uncased","zh","diff - same","7",2.2413900039452344,0.4680117634865874,164.83108084390028,4.789174501186378,3.7079276390466775e-6,4.449513166856013e-5,0.5833333333333334,"middle","***","***"
"bert-base-multilingual-uncased","zh","diff - same","8",2.1250298003090276,0.46801176348658746,164.83108084390028,4.5405478368278835,1.0783633934444587e-5,6.470180360666753e-5,0.6666666666666666,"middle","***","***"
"bert-base-multilingual-uncased","zh","diff - same","9",1.5995328765321597,0.46801176348658746,164.83108084390028,3.4177193851196863,7.955838131775364e-4,0.0015911676263550727,0.75,"higher","***","**"
"bert-base-multilingual-uncased","zh","diff - same","10",1.4989047318627255,0.46801176348658746,164.8310808439022,3.202707386447311,0.0016341729770028043,0.0028014393891476644,0.8333333333333334,"higher","**","**"
"bert-base-multilingual-uncased","zh","diff - same","11",1.4276201225255085,0.46801176348658746,164.83108084390028,3.0503936736334234,0.0026639077850822692,0.003995861677623403,0.9166666666666666,"higher","**","**"
"bert-base-multilingual-uncased","zh","diff - same","12",1.956109217539987,0.4680117634865874,164.83108084390028,4.179615492925631,4.7278713808566634e-5,1.8911485523426654e-4,1,"higher","***","***"
"bert-base-uncased","en","diff - same","1",2.201445057908413,1.1226239525996808,135.5117910451452,1.9609817275058903,0.05193175440963836,0.05193175440963836,0.08333333333333333,"lower","",""
"bert-base-uncased","en","diff - same","2",3.757314453513088,1.122623952599671,135.5117910451452,3.346903871783814,0.0010578700982012545,0.001154040107128641,0.16666666666666666,"lower","**","**"
"bert-base-uncased","en","diff - same","3",5.804934519911145,1.122623952599671,135.5117910451452,5.170862875737331,8.183870537721948e-7,1.0911827383629264e-6,0.25,"lower","***","***"
